,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Ticker,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Date,,,,,,,,,,,,,,,,,,,,
2024-10-17,231.6401824951172,415.0553283691406,162.74346923828125,187.52999877929688,136.92056274414062,576.4650268554688,220.88999938964844,79.81999969482422,496.8299865722656,56.01827621459961,156.25,22.440000534057617,687.6500244140625,70.19999694824219,54.81999969482422,182.38998413085938,170.20962524414062,698.9776000976562,181.044921875,47.59000015258789
2024-10-18,234.4839324951172,416.4895324707031,163.23292541503906,188.99000549316406,137.99049377441406,576.00537109375,220.6999969482422,80.94000244140625,494.8999938964844,56.37583541870117,155.97000122070312,22.770000457763672,763.8900146484375,70.5199966430664,54.099998474121094,185.49551391601562,170.0305633544922,721.5851440429688,179.4093017578125,47.2599983215332
2024-10-21,235.96067810058594,417.1070861816406,163.88218688964844,189.07000732421875,143.70010375976562,574.6964111328125,218.85000610351562,80.55999755859375,497.7099914550781,56.20698928833008,157.89999389648438,22.84000015258789,772.0700073242188,72.16999816894531,53.79999923706055,183.6043243408203,168.1304931640625,712.4463500976562,179.509033203125,47.79999923706055
2024-10-22,235.342041015625,425.8022155761719,164.95095825195312,189.6999969482422,143.58010864257812,581.5409545898438,217.97000122070312,80.91000366210938,493.1099853515625,56.2169189453125,154.08999633789062,22.399999618530273,764.239990234375,72.22000122070312,53.400001525878906,182.15109252929688,172.27879333496094,719.2405395507812,178.90066528320312,45.970001220703125
2024-10-23,230.25323486328125,422.9038391113281,162.59365844726562,184.7100067138672,139.55038452148438,563.2356567382812,213.64999389648438,80.83000183105469,485.0299987792969,55.899085998535156,152.91000366210938,21.979999542236328,749.2899780273438,72.54000091552734,53.38999938964844,181.85247802734375,165.73304748535156,706.9790649414062,173.0463409423828,45.36000061035156
2024-10-24,230.06365966796875,423.0332946777344,162.53372192382812,186.3800048828125,140.40032958984375,567.3223876953125,260.4800109863281,81.38999938964844,482.8699951171875,55.58125305175781,153.44000244140625,22.34000015258789,754.5499877929688,72.66000366210938,52.79999923706055,182.89761352539062,167.22523498535156,709.1640014648438,170.89212036132812,46.22999954223633
2024-10-25,230.9018096923828,426.43963623046875,165.080810546875,187.8300018310547,141.53024291992188,572.7879638671875,269.19000244140625,81.69999694824219,483.7200012207031,55.36274337768555,156.22999572753906,22.68000030517578,754.6799926757812,72.62999725341797,53.09000015258789,185.65476989746094,169.38394165039062,710.0519409179688,172.53770446777344,47.27000045776367
2024-10-28,232.88743591308594,424.8858947753906,166.52914428710938,188.38999938964844,140.51031494140625,577.6939697265625,262.510009765625,83.58999633789062,481.0400085449219,54.905853271484375,159.9199981689453,22.920000076293945,749.1199951171875,73.8499984741211,54.79999923706055,184.48023986816406,171.32379150390625,707.009033203125,171.56033325195312,47.720001220703125
2024-10-29,233.15684509277344,430.2244873046875,169.48574829101562,190.8300018310547,141.24026489257812,592.8018798828125,259.5199890136719,80.27999877929688,485.3900146484375,55.30315017700195,166.25,22.899999618530273,759.4400024414062,75.5,55.220001220703125,189.23806762695312,175.08412170410156,715.1400146484375,178.76104736328125,49.119998931884766
2024-10-30,229.59469604492188,430.8021545410156,174.26028442382812,192.72999572753906,139.3303985595703,591.322998046875,257.54998779296875,78.22000122070312,486.67999267578125,55.2137565612793,148.60000610351562,22.299999237060547,753.739990234375,74.77999877929688,54.720001220703125,184.4404296875,166.7477264404297,683.8300170898438,176.16798400878906,33.06999969482422
